verification_id,scope,kind,method,evidence_sha256,required,status,notes
authority_hash_chain,package,provenance,sha256_recompute,f602dffd709369a2ecb554bd41aba8f9701f1f3d08b64dec0d94c6c4ff7d64cc,YES,PASS,private machine evidence verified
mapped_artifact_identity,G0_G1,identity,paired_compile_handoff,111fabd0ad02cdb239bcb3ee33d8438f6c1b886b362af687aea3e7470d262da8,YES,PASS,DDC netlist and SDC hashes bound
equivalence_2,MINIMAL_TWO_BLOCK,functional,gate-level regression equivalence evidence,2ae8409e183b3d65814b02547f20f79e2f9a5b4c499bdb0afb0eebabc38117e9,YES,PASS,packet decoder status and order identical
equivalence_32,BURST_IDLE,functional,gate-level regression equivalence evidence,c9aaf098dc45b0bdd7f6ce13ba8fe8e1e616c6a35b2edfd9bbfbed96a02c6957,YES,PASS,packet decoder status and order identical
equivalence_64,ACTIVE_LEGAL,functional,gate-level regression equivalence evidence,d8722c0108e5d2550d867251ca209611592872eff19b8338a7f76abd9a2e3dbe,YES,PASS,packet decoder status and order identical
activity_six_point,G0_G1,activity,mapped_zero_delay,d1ad3cad3c35ff8923bfc689746d858962257930333230dc71e26cfb3e4c7867,YES,PASS,six distinct activity hashes
implementation_g0,G0,implementation,mapped_dc,111fabd0ad02cdb239bcb3ee33d8438f6c1b886b362af687aea3e7470d262da8,YES,PASS,setup and electrical clean
implementation_g1,G1,implementation,mapped_dc_gate_clock,111fabd0ad02cdb239bcb3ee33d8438f6c1b886b362af687aea3e7470d262da8,YES,PASS,setup electrical and gating clean
icg_model,CLKGATETST_X1,model,exact_model_and_canary,73b3869b7c2a690fbc67ab7d02682397546b309b095be3bc2333198c544f6d9c,YES,PASS,functional model has no timing checks
parser_recovery,power,parser,immutable_report_reparse,9393ab3b68d8067d16ae13292cd3009f299339923b780cabc96234d278fb7e65,YES,PASS,no EDA rerun
release_audit,power,ownership,process_group_release,11b49a17d487578436fc55ccc914e675c829b131a0ab8ab4ed8ba0ebdac97724,YES,PASS,FULL_RELEASED
